count,url
2698,https://www.cnn.com/sitemaps/article-2018-06.xml
2378,https://www.cnn.com/sitemaps/article-2018-08.xml
2417,https://www.cnn.com/sitemaps/article-2018-09.xml
2593,https://www.cnn.com/sitemaps/article-2018-12.xml
3136,https://www.cnn.com/sitemaps/article-2018-10.xml
3103,https://www.cnn.com/sitemaps/article-2018-11.xml
3238,https://www.cnn.com/sitemaps/article-2019-03.xml
3237,https://www.cnn.com/sitemaps/article-2019-01.xml
2961,https://www.cnn.com/sitemaps/article-2019-02.xml
3651,https://www.cnn.com/sitemaps/article-2019-04.xml
3656,https://www.cnn.com/sitemaps/article-2019-05.xml
3946,https://www.cnn.com/sitemaps/article-2019-07.xml
3783,https://www.cnn.com/sitemaps/article-2019-06.xml
3520,https://www.cnn.com/sitemaps/article-2019-08.xml
3241,https://www.cnn.com/sitemaps/article-2019-12.xml
2370,https://www.cnn.com/sitemaps/article-2019-11.xml
3710,https://www.cnn.com/sitemaps/article-2019-09.xml
4121,https://www.cnn.com/sitemaps/article-2019-10.xml
3887,https://www.cnn.com/sitemaps/article-2020-01.xml
3639,https://www.cnn.com/sitemaps/article-2020-02.xml
3854,https://www.cnn.com/sitemaps/article-2020-03.xml
3794,https://www.cnn.com/sitemaps/article-2020-04.xml
3064,https://www.cnn.com/sitemaps/article-2020-11.xml
3718,https://www.cnn.com/sitemaps/article-2020-05.xml
3904,https://www.cnn.com/sitemaps/article-2020-06.xml
2999,https://www.cnn.com/sitemaps/article-2020-12.xml
3677,https://www.cnn.com/sitemaps/article-2020-10.xml
3921,https://www.cnn.com/sitemaps/article-2020-07.xml
3575,https://www.cnn.com/sitemaps/article-2020-09.xml
3463,https://www.cnn.com/sitemaps/article-2021-03.xml
3603,https://www.cnn.com/sitemaps/article-2020-08.xml
3376,https://www.cnn.com/sitemaps/article-2021-01.xml
3183,https://www.cnn.com/sitemaps/article-2021-05.xml
3208,https://www.cnn.com/sitemaps/article-2021-02.xml
3175,https://www.cnn.com/sitemaps/article-2021-06.xml
2870,https://www.cnn.com/sitemaps/article-2021-09.xml
2879,https://www.cnn.com/sitemaps/article-2021-08.xml
3026,https://www.cnn.com/sitemaps/article-2021-07.xml
3257,https://www.cnn.com/sitemaps/article-2021-04.xml
2815,https://www.cnn.com/sitemaps/article-2021-11.xml
3099,https://www.cnn.com/sitemaps/article-2021-10.xml
2572,https://www.cnn.com/sitemaps/article-2021-12.xml
2499,https://www.cnn.com/sitemaps/article-2022-05.xml
2683,https://www.cnn.com/sitemaps/article-2022-03.xml
2758,https://www.cnn.com/sitemaps/article-2022-01.xml
2391,https://www.cnn.com/sitemaps/article-2022-02.xml
1284,https://www.cnn.com/sitemaps/article-2022-12.xml
2454,https://www.cnn.com/sitemaps/article-2022-04.xml
2550,https://www.cnn.com/sitemaps/article-2022-08.xml
2569,https://www.cnn.com/sitemaps/article-2022-09.xml
2608,https://www.cnn.com/sitemaps/article-2022-06.xml
2484,https://www.cnn.com/sitemaps/article-2022-07.xml
2712,https://www.cnn.com/sitemaps/article-2022-10.xml
2606,https://www.cnn.com/sitemaps/article-2022-11.xml
